銀行中文名稱,本月,本年累計,銀行類別,時間,
臺灣銀行,263374000,2476565000,本國銀行,201611,出口押匯,
臺灣土地銀行,32886000,357440000,本國銀行,201611,出口押匯,
合作金庫銀行,179711000,1785176000,本國銀行,201611,出口押匯,
第一商業銀行,279098000,3113122000,本國銀行,201611,出口押匯,
華南商業銀行,305346000,3442975000,本國銀行,201611,出口押匯,
彰化商業銀行,297825000,2860520000,本國銀行,201611,出口押匯,
上海商業儲蓄銀行,211613000,2221633000,本國銀行,201611,出口押匯,
台北富邦銀行,150268000,1379550000,本國銀行,201611,出口押匯,
國泰世華商業銀行,73853000,614239000,本國銀行,201611,出口押匯,
中國輸出入銀行,0,0,本國銀行,201611,出口押匯,
高雄銀行,7893000,92494000,本國銀行,201611,出口押匯,
兆豐國際商業銀行,878054000,9613717000,本國銀行,201611,出口押匯,
花旗(台灣)銀行,42629000,459221000,本國銀行,201611,出口押匯,
澳盛(台灣)商業銀行,16302000,388538000,本國銀行,201611,出口押匯,
中華開發工業銀行,0,0,本國銀行,201611,出口押匯,
臺灣工業銀行,1380000,17761000,本國銀行,201611,出口押匯,
臺灣中小企業銀行,83888000,864091000,本國銀行,201611,出口押匯,
渣打國際商業銀行,11917000,154512000,本國銀行,201611,出口押匯,
台中商業銀行,26500000,304208000,本國銀行,201611,出口押匯,
京城商業銀行,1337000,11760000,本國銀行,201611,出口押匯,
滙豐(台灣)商業銀行,56631000,666176000,本國銀行,201611,出口押匯,
瑞興商業銀行,1793000,3305000,本國銀行,201611,出口押匯,
華泰商業銀行,8831000,72069000,本國銀行,201611,出口押匯,
臺灣新光商業銀行,15929000,158741000,本國銀行,201611,出口押匯,
陽信商業銀行,4531000,49488000,本國銀行,201611,出口押匯,
板信商業銀行,3713000,33790000,本國銀行,201611,出口押匯,
三信商業銀行,110000,1129000,本國銀行,201611,出口押匯,
聯邦商業銀行,9595000,86724000,本國銀行,201611,出口押匯,
遠東國際商業銀行,17145000,148228000,本國銀行,201611,出口押匯,
元大商業銀行,14742000,158544000,本國銀行,201611,出口押匯,
永豐商業銀行,69503000,675757000,本國銀行,201611,出口押匯,
玉山商業銀行,152303000,1791314000,本國銀行,201611,出口押匯,
凱基商業銀行,4200000,22009000,本國銀行,201611,出口押匯,
星展(台灣)商業銀行,36065000,421537000,本國銀行,201611,出口押匯,
台新國際商業銀行,84858000,1216085000,本國銀行,201611,出口押匯,
大眾商業銀行,19120000,374667000,本國銀行,201611,出口押匯,
日盛國際商業銀行,1061000,25079000,本國銀行,201611,出口押匯,
安泰商業銀行,4791000,85743000,本國銀行,201611,出口押匯,
中國信託商業銀行,153640000,2735168000,本國銀行,201611,出口押匯,
